,id,title,company,location,postingdate,today,summary,salary,url
0,f718684f28f31ff4,Data Analist,HalloStroom,Gouda,19 dagen geleden,2021-03-16,"Voor deze rol zoeken we een ervaren analist.
Je hebt een WO opleiding afgerond, bij voorkeur richting marketing en je hebt affiniteit met IT;",,https://nl.indeed.com/company/HalloStroom/jobs/Data-Analist-f718684f28f31ff4?fccid=923e2776b829025b&vjs=3
1,088a2413b896ae9d,Marketing Data Analist,QLF Brands - lampenlicht.nl,Hapert,Meer dan 30 dagen geleden,2021-03-16,"Als marketing data analist maak je data inzichtelijk en beantwoord je analyse vraagstukken.
In de rol als marketing data analist werk je in internationaal…",,https://nl.indeed.com/rc/clk?jk=088a2413b896ae9d&fccid=afec03267be86ea5&vjs=3
2,05e416dcda805c45,Marketing Intelligence Analist,Lincks Personal Recruitment,Dordrecht,Meer dan 30 dagen geleden,2021-03-16,"Het optimaliseren van de marketingdata, zodat alles uit de offline én online gegevens gehaald wordt.
Dat is waar jij als Marketing Intelligence Analist energie…",€2.500 - €4.000 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BS6DeOXXI25jhahsSu0034hupV8qHq1s8uEZGRFeRzj9oBc8XAT7MzNHr4aA_sdCrUfxF8VFfYpqhEmQVj2_o4n9npeyjMDx0B5UxRMoHUmcZgeiwESiKUYLSaiyJGVXdm8toEMDFZEDecYAccO-_iQLGgDWO-sQsWmf8KnzyYduizr6wRfIg_uQGVmbFLVEZejB2M6Neq7FIpWyC7PQBxC0HjgMY4-xR9PiP7iFR0EqY6lhDH0aKZlfiUn8R6f-BbGjZjSMuMA2Eg6WJEbx2RiFw3HUgbgJLm1rl3tuQALqXIl-TQ2Cy8gCqqvD6Q-Si5TN9MBJbMagTL8mm5Dx8TZNxSxRztr_jV9QjWDeCzsH5vAUQ5sTnp1qW1oy3vDYz7-U1skpI8xOSS50bPs3RkbQMxn8JCey4tIemvXDZ_yCMyDHkpFRPCIBuxKwdmPH0G4fjtk5Vy4tJmNMBZuKIyixJBrPrEkW0ckPKiVFV3XyKRxaeJGeZuqT-xXPmPL46TkNqqajgQiNJ5y-G38wKxnwFNM7X5bOCKbZ-9dzrT6FfRtkruk9P1Wbd6aEg7TvAxKPWkh2laJiMUP87z0FNBDr4I0V7MsrJJZuJvGDoZUGJiv1SeDZCFvArhtOs9JSLznQOr5YiT6SjkLk8HvZSpK8Hrzp1xklzdAEZ6gEezTt_Sa9UD41uG&p=2&fvj=0&vjs=3
3,e612b632ad1650e8,CRO / Marketing Data Analist,Rotom Nederland B.V.,Best,18 dagen geleden,2021-03-16,"Als CRO / marketing data analist word je onderdeel van een jong en dynamisch team met daarin drie directe collega’s en een teamleider.
Wat vragen wij van jou?*.",,https://nl.indeed.com/company/Rotom-Nederland-BV/jobs/Cro-e612b632ad1650e8?fccid=dcd100943dd03272&vjs=3
4,d3e5051e65cf0770,Senior Data Analist (38 uur),My Jewellery,Den Bosch,Vandaag,2021-03-16,"De gegevens die je verwerkt komen onder andere uit onze e-commerce-, ERP en marketing automationsystemen, maar ook van externe bronnen zoals social media…",,https://nl.indeed.com/rc/clk?jk=d3e5051e65cf0770&fccid=2329ef081dc2b26d&vjs=3
5,bdcc6b92da2bdf5f,Marketing Intelligence Analyst,Sana Commerce,Rotterdam,Meer dan 30 dagen geleden,2021-03-16,"Experience in developing intelligent solutions like marketing attribution model.
We all have our own expertise and specialties, from sales and marketing to…",,https://nl.indeed.com/rc/clk?jk=bdcc6b92da2bdf5f&fccid=e39808dc8e4dff1d&vjs=3
6,8aa254c22e0abdaf,Junior Content Marketing Analyst (m/f/d),Global Savings Group,Amsterdam,13 dagen geleden,2021-03-16,"Coordinating with freelancers, account managers and other departments to execute and optimise effective marketing campaigns.
Working in a cloud based company.",,https://nl.indeed.com/rc/clk?jk=8aa254c22e0abdaf&fccid=d47d366d134cdf11&vjs=3
7,f9b4d30d147eeb32,"Marketing & Media Analist (Tijdelijk, 5 maanden)",Talpa Network,Amsterdam,24 dagen geleden,2021-03-16,"De veranderingen in het media landschap volgen elkaar snel op.
Het organiseren én juist interpreteren van data en onderzoek wordt steeds belangrijker in de snel…",,https://nl.indeed.com/rc/clk?jk=f9b4d30d147eeb32&fccid=cde184b2f823709c&vjs=3
8,233094a5fbe87200,"Junior Data Analist, Dordrecht",ENGIE,Dordrecht,Meer dan 30 dagen geleden,2021-03-16,"Ben jij de Junior Data Analist welke, samen met ons, de uitdagingen in de digitalisatie aan gaat?
Wil je meewerken aan het bereiken van onze ambitieuze…",,https://nl.indeed.com/rc/clk?jk=233094a5fbe87200&fccid=bcbba984fec63461&vjs=3
9,adc4ee50cfaf6a50,Medior CDD Analist,Brunel,Rotterdam,Meer dan 30 dagen geleden,2021-03-16,Als Medior Analist Know Your Client ben je samen met je team verantwoordelijk voor het actualiseren en completeren van klantdossiers.,,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Br9Jn0n-9lL-KuX2NkXt9g2eIzDwrC5RwAnAq9S41qR99NTxTrhDAMNkNo0cvGw-Wb2XXPeieUUVVAesN6PfA8_YjZiSzUOPjC6aJqhTjV9St_274CJ_4liZTfPEBe6h_u8tCgi7AZjCQtYFFUSLr-6AK3q-Taulu_aRc2hM-npt3TUvI9ZSS_jEi2AqDg2vAc6hIa67yiWe7S1T55f0yQULKnFvVr-PYxPDiij0b773OtufB4WOtcNIMKsHiDboqUx-60KFoUD2wBSdQ5RRX_1MwqUEnzk0ctvrwN9J_AGfTd1fFr9kgWEQJ17Kd6c4Wd16BhMmIDgB_Rf9luTQDAQrD0ef_4vaa3UYRPPeNro55OgejaIA0Ml1rBzRK9vyqwwjbfFWPqGmep9u7iUjtl_hBMADkeW91-CwnehwOkvqWW4kgT5Ez6X4KBGaP9H0eFy2l1auxir0EIfpVXPnBBM6BM-5tpQajxpa453mKRec9ScTegnQoamTcarAEbnoC3GxezVtwNtfksIbxqFRvD5P-_RZFq4q78yV9PsW8ZlQ8CCwXbdwqxA1cnF49l72ccZr2jMH1ysOuQuNwSscR7M8yM7ISxzwyxKharH_yvhVKZw17QblVqabXlheF02lS1baDZoLc48YXCkDx-NOsQXFXXMxs6tX7OkCt5oO3Z-Q==&p=9&fvj=0&vjs=3
10,1618fb30afa98b2f,Marketing intern,Wonderflow,Amsterdam,19 dagen geleden,2021-03-16,"As a Marketing intern, you will work together as part of the marketing team, consisting of a generalist and an industry analyst (supported by interns), and in…",,https://nl.indeed.com/rc/clk?jk=1618fb30afa98b2f&fccid=e6e844b978f35e62&vjs=3
11,20adde329d453731,Data analist,Ascending People,Hengelo OV,24 dagen geleden,2021-03-16,"Met deze inzichten kunnen zij hun inkoop, product ontwikkeling en marketing optimaliseren.
Als data analist ben je nieuwsgierig en intrinsiek gemotiveerd om met…",,https://nl.indeed.com/rc/clk?jk=20adde329d453731&fccid=bcbe388a1c937e3b&vjs=3
12,a7858357877388d6,Data Analist,WeBlog Media B.V.,Groningen,5 dagen geleden,2021-03-16,"Dan willen we jou misschien wel als onze data analist!
In korte tijd zijn we met een in-house redactie, marketing- en development team uitgegroeid tot één van…",,https://nl.indeed.com/company/WeBlog-Media-B.V./jobs/Data-Analist-a7858357877388d6?fccid=14e0895a71b665cc&vjs=3
13,0edb0aa6b135bed3,Junior Pricing Analist Bedrijven,Achmea,Apeldoorn,4 dagen geleden,2021-03-16,"Ben jij de professionele analist, die in gesprek met marketing en sales beschikt je over overtuigingskracht en je weet je standpunten en adviezen goed over te…",€3.417 - €4.755 per maand,https://nl.indeed.com/rc/clk?jk=0edb0aa6b135bed3&fccid=5669a89b3a19b7fa&vjs=3
14,9dbdb4d6bc3b51fd,Supply Chain Analyst,Michael Page,Breda,2 dagen geleden,2021-03-16,"Walraven Sax is een marketing-en verkooporganisatie met een breed pakket wijnen en gedistilleerde dranken.
Qua persoon denk je altijd in oplossingen.",€50.000 - €58.320 per jaar,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQx9zSiyEqaPFd55WgSbrogcybLLMOvaJifgHohN9UOrFhrmu1MhjlwQlZpkmg6IjJEgTMFdXv1i4R26b2z7kdMKvSwIe6PIdBD7dznqF_LUKR72RRKEq-L0Zdr3VnYbGPBLmKgsEKQh_FcEsoq9cSWbs7x07NlTpRcll4h0-SEJQdd2rT6FH-yC5HEMbHgJ5k4pxeGubXTo8j6u3JunEv6EN-JLaeYwTMKSztztOuNDAvAzdmza6dDDTRv1EYvvEizu8XDA4H-cH-c90bzP4vLaGhsupDDo4JUitnZI0FksK8keShgf_VYFMAg9g9G9qpFk2ol4TXqJR6yPD3rtRR9kUsqgitzbEhJZ5h_7mF61X9SukUSy4vXyvjSXnwlh5LvrrC7oS-FeZ-ZUrkz91_3k_CPeOsBbW68TN-0ji6OHa0uqb_cab5dKV_hA6qI06HdKi8qme9lX6gjQJi_0qxNbBcw2mauaXB5BNCWKYNr6SSKgsMX8S3DAX75g7BzEs=&p=14&fvj=1&vjs=3
15,d2f2e2882646d355,Global Marketing Data Analyst,Danone,Hoofddorp,17 dagen geleden,2021-03-16,"Are you the global marketing data analyst who likes to engage with different stakeholders, guides the markets and at the same time contributes to a purpose…",,https://nl.indeed.com/rc/clk?jk=d2f2e2882646d355&fccid=1d449a8e14af7cf3&vjs=3
16,d8da9cf6841ff789,Assortiment Data Analist,Plieger,Nederland,20 dagen geleden,2021-03-16,"Ervaring in markt, product of marketing analyses, bijvoorbeeld op een afdeling Product Management Category Management of Marketing.
Waar bouw je aan mee?",,https://nl.indeed.com/rc/clk?jk=d8da9cf6841ff789&fccid=4e5f062a0ab5bff4&vjs=3
17,bdcc6b92da2bdf5f,Marketing Intelligence Analyst,Sana Commerce,Rotterdam,Meer dan 30 dagen geleden,2021-03-16,"Experience in developing intelligent solutions like marketing attribution model.
We all have our own expertise and specialties, from sales and marketing to…",,https://nl.indeed.com/rc/clk?jk=bdcc6b92da2bdf5f&fccid=e39808dc8e4dff1d&vjs=3
18,d0c3eefa350256dc,Commercieel Business Analist,Bever,Pijnacker,12 dagen geleden,2021-03-16,"Het is een rol met veel vrijheid waarin je met de collega’s binnen de verschillende digitale domeinen intensief samenwerkt (digital marketing, online…",,https://nl.indeed.com/rc/clk?jk=d0c3eefa350256dc&fccid=20f2759ce6d1733c&vjs=3
19,99e2a445b186ca73,Marketing Specialist,WE Fashion,Utrecht,Meer dan 30 dagen geleden,2021-03-16,"Een creatieve (cijfermatige) analist die van alle (marketing) markten thuis is.
En heb je al meerdere jaren werkervaring binnen een sterke marketing gedreven…",,https://nl.indeed.com/rc/clk?jk=99e2a445b186ca73&fccid=362d8cf0b5d02023&vjs=3
20,b18653218d6bb2e6,Data analist,Searchresult,Den Bosch,Meer dan 30 dagen geleden,2021-03-16,"Als data analist (analytics specialist).
Als data analist (analytics specialist) ben je onderdeel van het overkoepelend data team van Searchresult, bestaande…",€2.400 - €3.500 per maand,https://nl.indeed.com/rc/clk?jk=b18653218d6bb2e6&fccid=91c8ef5b9a4f016f&vjs=3
21,a7858357877388d6,Data Analist,WeBlog Media B.V.,Groningen,5 dagen geleden,2021-03-16,"Dan willen we jou misschien wel als onze data analist!
In korte tijd zijn we met een in-house redactie, marketing- en development team uitgegroeid tot één van…",,https://nl.indeed.com/company/WeBlog-Media-B.V./jobs/Data-Analist-a7858357877388d6?fccid=14e0895a71b665cc&vjs=3
22,b70206f84e6d1ee0,Data Analist Particulieren Schade,NN Insurance Belgium,Den Haag,7 dagen geleden,2021-03-16,"Ben jij onze nieuwe data analist?
Als data analist bij het team Pricing en Data bij Particulieren Schade ben je verantwoordelijk voor het ontwikkelen,…",€5.095 per maand,https://nl.indeed.com/rc/clk?jk=b70206f84e6d1ee0&fccid=24ec997c502b2e1a&vjs=3
23,2daa46ecca1d675f,Junior Marketing Analyst,wehkamp,Zwolle,11 dagen geleden,2021-03-16,Als marketing analist zorg je ervoor dat we met de juiste analyses de customer journey van onze klanten nog beter weten te begrijpen en kunnen voorspellen.,,https://nl.indeed.com/rc/clk?jk=2daa46ecca1d675f&fccid=8ee03ff44561e4a7&vjs=3
24,20adde329d453731,Data analist,Ascending People,Hengelo OV,24 dagen geleden,2021-03-16,"Met deze inzichten kunnen zij hun inkoop, product ontwikkeling en marketing optimaliseren.
Als data analist ben je nieuwsgierig en intrinsiek gemotiveerd om met…",,https://nl.indeed.com/rc/clk?jk=20adde329d453731&fccid=bcbe388a1c937e3b&vjs=3
25,ba7caf41cd13be35,Marketing Management Assistent (NL),Techwave Europe,Eindhoven,Meer dan 30 dagen geleden,2021-03-16,"Onderzoek naar nieuwe marketing- en communicatiestrategieën in samenwerking met de Vicepresident Europe.
Afgeronde bachelor in (voorkeur) marketing, business…",,https://nl.indeed.com/rc/clk?jk=ba7caf41cd13be35&fccid=2d9fe93e506baa23&vjs=3
26,ad56fe7eb7005e86,Global Portfolio Strategy - Analyst,coty,Amsterdam Noord,Vandaag,2021-03-16,"Backgrounds in a combination of consumer marketing, trade marketing, commercial strategy and business planning are preferable.
Vi. In Market Sku Optimization.",,https://nl.indeed.com/rc/clk?jk=ad56fe7eb7005e86&fccid=7ad46606e93080a6&vjs=3
27,9caa23166da2b603,Intern Research,Colliers International EMEA,Amsterdam Zuid,Vandaag,2021-03-16,"Wil jij ontdekken hoe het is om een analist te zijn die zich durft uit te spreken over de vastgoedmarkt van de toekomst?
Wat vragen we van jou?",,https://nl.indeed.com/rc/clk?jk=9caa23166da2b603&fccid=ad9a461c6934bf2c&vjs=3
28,502c76bac2427d81,Diagnostic Business Analist,DAF,Eindhoven,18 dagen geleden,2021-03-16,"Als diagnostic business analist ben je assertief, pro-actief en besluitvaardig.
Wij zijn op zoek naar een praktische, hands-on analist met organisatie- en…",,https://nl.indeed.com/rc/clk?jk=502c76bac2427d81&fccid=d10121115426893b&vjs=3
29,9ccc54d59a586b0d,Privacy Officer,ASML,Veldhoven,Meer dan 30 dagen geleden,2021-03-16,"Owning the development and the update of ASML contents, processes and way of workings related to the areas of responsibility (e.g. websites, mobile apps,…",,https://nl.indeed.com/rc/clk?jk=9ccc54d59a586b0d&fccid=57ed5f0210b0681a&vjs=3
30,b18653218d6bb2e6,Data analist,Searchresult,Den Bosch,Meer dan 30 dagen geleden,2021-03-16,"Als data analist (analytics specialist).
Als data analist (analytics specialist) ben je onderdeel van het overkoepelend data team van Searchresult, bestaande…",€2.400 - €3.500 per maand,https://nl.indeed.com/rc/clk?jk=b18653218d6bb2e6&fccid=91c8ef5b9a4f016f&vjs=3
31,8d130def83bb0753,Digital Data Analist,SMS Intermediair,Eersel,Meer dan 30 dagen geleden,2021-03-16,"Je spart met de afdeling BI en marketing.
Een toffe uitdaging dus voor jou als digital data analist om daar aan boord te stappen.
Wat bieden we je aan?",€3.500 - €4.500 per maand,https://nl.indeed.com/rc/clk?jk=8d130def83bb0753&fccid=c66dbca2ed110e1f&vjs=3
32,8e7205343590efa4,Digital Web Analist,WeKnowPeople,Den Bosch,Meer dan 30 dagen geleden,2021-03-16,"Solliciteer dan voor web analist via deze pagina.
Het team bestaat momenteel uit een (technisch) web analist, vijf online advertising specialisten (met ieder…",€4.000 per maand,https://nl.indeed.com/rc/clk?jk=8e7205343590efa4&fccid=d187429d6f430a1a&vjs=3
33,93a0dc0b72434fc6,Jr. Data Analist,Close Contact BV,Schiphol,Meer dan 30 dagen geleden,2021-03-16,"Je schrijft selecties op marketing data met behulp van geavanceerde Marketing Automation platformen.
Als jr. data analist assisteer je in de ontwikkeling en…",,https://nl.indeed.com/rc/clk?jk=93a0dc0b72434fc6&fccid=c78e8a8eff1a976d&vjs=3
34,9caa23166da2b603,Intern Research,Colliers International EMEA,Amsterdam Zuid,Vandaag,2021-03-16,"Wil jij ontdekken hoe het is om een analist te zijn die zich durft uit te spreken over de vastgoedmarkt van de toekomst?
Wat vragen we van jou?",,https://nl.indeed.com/rc/clk?jk=9caa23166da2b603&fccid=ad9a461c6934bf2c&vjs=3
35,05e416dcda805c45,Marketing Intelligence Analist,Lincks Personal Recruitment,Dordrecht,Meer dan 30 dagen geleden,2021-03-16,"Het optimaliseren van de marketingdata, zodat alles uit de offline én online gegevens gehaald wordt.
Dat is waar jij als Marketing Intelligence Analist energie…",€2.500 - €4.000 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BS6DeOXXI25jhahsSu0034hupV8qHq1s8uEZGRFeRzj9oBc8XAT7MzNHr4aA_sdCrUfxF8VFfYpqhEmQVj2_o4n9npeyjMDx0B5UxRMoHUmcZgeiwESiKUYLSaiyJGVXdm8toEMDFZEDecYAccO-_iQLGgDWO-sQsWmf8KnzyYduizr6wRfIg_uQGVmbFLVEZejB2M6Neq7Enx5vr1VSXx3j1uZfUVaCV-3Xjn-CA1CcsOkOJB0msDivK7ZwR7drT3WxP7__XHk2o6ttaCUqmYiQcD8lXZUW8ySZCkTKAhkA-6AuEfTFhbUzbomokv-1dnuiiYMsvnWxq8eMnFYw82rSemKb2kNY08ecMpcqKEWZLr5XwcQHMgpFHe5b3CaUSg3z1nI61EgDWiQhQMQY2kLXq0Z7z0bt5yQGKyMj1AMtwmiIuyAfQlWdPHxfigue9Ig4nBf5-_k-yi2xOhTO-fPbvINI3cDf1ksTgPBG8_aW5fepYlSA18N9M-UwB3KiKkPJnbDru7CppTs4l0ZFM2vEgYS7BZhEMWd_BQIlLsHOFIUKW7EW6QRMyhaVpteBC8UhCOUmLJY0Ijzm1Nf2YZbwTPk9iPHbO0GYeL3Cjr736Tkoh-s0IwMZ2pcGiU6M4LE-FFZnCo7h_6BhUommiRDjePl_FC_89LA1RDo1x7EsCnBFOHb12S&p=5&fvj=0&vjs=3
36,ce1513d0ee122fc5,Research Analyst,USP Marketing Consultancy BV,Rotterdam,Meer dan 30 dagen geleden,2021-03-16,"Rotterdam | 40 uur per week | €2166 - € 3478.
USP zoekt GEEN schaap met 5 poten!
Wij zijn op zoek naar starters voor de functie Research Analyst.",,https://nl.indeed.com/rc/clk?jk=ce1513d0ee122fc5&fccid=469a04661164009f&vjs=3
37,58c512faaf90af3d,CRO Analist,E-luscious,Gorredijk,12 dagen geleden,2021-03-16,"Van Google Analytics en andere marketing tools, het klantbronnen waarmee we de klantervaring verder.
De continue ontwikkeling en groei van e-Luscious vraagt om…",,https://nl.indeed.com/rc/clk?jk=58c512faaf90af3d&fccid=6fe03b5601c50d81&vjs=3
38,af365835e5377b11,Meewerkstage Junior Recruiter,Eneco,Nederland,Vandaag,2021-03-16,"Je beheert de stagevacatures voor geheel Eneco, van Finance en data analist tot marketing en communicatie stagiaire.
Daarnaast is het volgende belangrijk:",,https://nl.indeed.com/rc/clk?jk=af365835e5377b11&fccid=0f752a0010ef00e0&vjs=3
39,bdcc6b92da2bdf5f,Marketing Intelligence Analyst,Sana Commerce,Rotterdam,Meer dan 30 dagen geleden,2021-03-16,"Experience in developing intelligent solutions like marketing attribution model.
We all have our own expertise and specialties, from sales and marketing to…",,https://nl.indeed.com/rc/clk?jk=bdcc6b92da2bdf5f&fccid=e39808dc8e4dff1d&vjs=3
40,d2f2e2882646d355,Global Marketing Data Analyst,Danone,Hoofddorp,17 dagen geleden,2021-03-16,"Are you the global marketing data analyst who likes to engage with different stakeholders, guides the markets and at the same time contributes to a purpose…",,https://nl.indeed.com/rc/clk?jk=d2f2e2882646d355&fccid=1d449a8e14af7cf3&vjs=3
41,43059f0226835e70,Financial Analyst,corbion,Gorinchem,11 dagen geleden,2021-03-16,"We are looking for a pro-active financial analyst with high level analytical skills who’s interested in understanding our business, would like to further…",,https://nl.indeed.com/rc/clk?jk=43059f0226835e70&fccid=eb2bdddd219e32a4&vjs=3
42,3e65e635f33f4084,Data Analist,Close Contact BV,Schiphol,Meer dan 30 dagen geleden,2021-03-16,"Als data analist initieer je in de ontwikkeling en implementatie van nieuwe databasemarketingprocessen.
Je schrijft selecties op marketingdata met behulp van…",,https://nl.indeed.com/rc/clk?jk=3e65e635f33f4084&fccid=c78e8a8eff1a976d&vjs=3
43,9fcd2010d831e381,Enthousiaste Stagiairs,Euroma,Nederland,Meer dan 30 dagen geleden,2021-03-16,"Ben je altijd al geïnteresseerd geweest in de Food sector en spreekt een ondernemende, collegiale en informele bedrijfscultuur jou aan?",,https://nl.indeed.com/rc/clk?jk=9fcd2010d831e381&fccid=5d8f738901586325&vjs=3
44,e064ccefae3c7fe5,UX Researcher,Coolblue,Rotterdam,5 dagen geleden,2021-03-16,"Minimaal 2 jaar vergelijkbare werkervaring in bijvoorbeeld onderzoek of online marketing.
Een (bij voorkeur marketing/onderzoek gerelateerde) wo-opleiding…",,https://nl.indeed.com/rc/clk?jk=e064ccefae3c7fe5&fccid=7b02d5128f6957de&vjs=3
45,8952c42d69a07e3e,(Online) Marketer – Hilversum,Opdidakt,Hilversum,26 dagen geleden,2021-03-16,"SSC BV is het Shared Service Center waaruit we de verschillende praktijken, franchisenemers en onderaannemers faciliteren in het primaire proces met marketing,…",€2.500 - €3.650 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Al1QVGkrYBHxU2pDEz8HRJnRglUIAsxv3-6AYQbB5ymKzk2iiOJGfZvCP655jnSIa8UT38wErreCNYVaHPm3O6He-Vij8engKqEho8O0IjB7CB0f7uXw_5OqzPo7ISwVKEJKR9_9WzuM4i1DCqR9ue9Hz5-pLIyFj_pGLCeUPvgvJFJNizk-9nBTgCVsqFPgmAUIGmnJ7QyKKDxsVtlfoGsN_s2yVsZnzWqpUrBNOS74jxm6Sj1ikJ5UbZsvRXUzChO7u82Cx3MSTUdp_DQeTXSyEKbTyFfjxQDOmnaR8BD4jw_ZGalCm5r7nsydatP0j32RdkK48iNN3J61PExXY953BWQFAXtDVfMBaRUCaihvreK0CQLqUv0fqyfJ7DpzTgNcIPF6zP12lCIQBh405xPR1gklSOVZhfpdz_f7Zuy4FxR1V7q2AHh2HDUh_KVrdC6278ot1fyckJXX2Vpy6a-ZiDC57HFo2RRLDn93q-a6XF2-RHE5v5DnWhftcTTC9ys7bZRjA3uITCOaSZLN1ZeNJWCJ9N0mR_AOLEOPcbmjzG6i4bCeq9PCPA07FYqNpkUwM6vc_CwjSd8xRveJQ_zxC1KS5t7wV2iysimeP5YFDgwjAaewQ4t6nerCppbc-bHSSzNVGzhCyujo9MZGWm2sDU64aqNkc=&p=0&fvj=0&vjs=3
46,2dab296d29823bd5,Online Marketing Specialist,Blendle,Utrecht,Meer dan 30 dagen geleden,2021-03-16,"You’re responsible for the marketing budget.
Knowledge of digital marketing campaigns, systems, testing.
Discuss with our data analysts how to increase the…",,https://nl.indeed.com/rc/clk?jk=2dab296d29823bd5&fccid=4f05c8cce59f5ab1&vjs=3
